PlateSequenceName,BatchName,LocalCompletionTime,CompletionState,WellId,ChemistryId,ProbeId,Concentration,Units,Endpoint,SampleSize,InitialBaseline,Plateau,FinalBaseline,NetPlateau,NetPlateauTempAdj,CrossNetPlateau,CrossNetPlateauTempAdj,PlateauSlope,Temperature,Errors,Conc_clean,is_outlier
20251114-T5,TestBatch-1,19/11/2025 02:09:49 p.m.,Complete,R24_A07,Glutamate,Probe2B,9.75893059566833,mmol/L,00:00:50,25,1.09471593584333,5.19285447256906,1.20122964041574,4.09813853672573,4.10865761950985,,,-0.902440207345175,25.9063835144043,,9.75893059566833,False
20251114-T5,TestBatch-1,19/11/2025 02:16:30 p.m.,Complete,R24_A01,Glucose,Probe1A,3.13017785536007,g/L,00:00:30,25,0.0931693485804967,3.82653890337263,-0.00413049970354353,3.73336955479213,3.73777144279584,,,0.927846091134277,26.2821884155273,,3.13017785536007,False
20251114-T5,TestBatch-1,19/11/2025 02:16:30 p.m.,Complete,R24_A01,Lactate,Probe1B,2.57652990360289,g/L,00:00:30,25,1.806426184518,19.1835836683001,2.00273404802595,17.3771574837821,17.3976462942102,,,3.26931544712622,26.2821884155273,,2.57652990360289,False
20251114-T5,TestBatch-1,19/11/2025 02:24:59 p.m.,Complete,R24_A01,Glutamine,Probe2A,3.04234962566159,mmol/L,00:00:50,25,0.535497120448521,6.56004415239607,0.598030362810407,6.02454703194755,6.04535755072413,4.39805085318429,4.4274911210309,-1.02265221731995,25.8764953613281,,3.04234962566159,False
20251114-T5,TestBatch-1,19/11/2025 02:24:59 p.m.,Complete,R24_A01,Glutamate,Probe2B,10.8440858126291,mmol/L,00:00:50,25,0.868027823311942,5.26607867649623,1.00215939113072,4.39805085318429,4.4274911210309,,,-0.425466809953927,25.8764953613281,,10.8440858126291,False
20251114-T5,TestBatch-1,19/11/2025 02:19:30 p.m.,Complete,R24_A02,Glucose,Probe1A,2.43407646942213,g/L,00:00:30,25,-0.00307709830147879,2.89379910060338,-0.0688462938581194,2.89687619890486,2.90655098125112,,,0.250609261649024,26.2204551696777,,2.43407646942213,False
20251114-T5,TestBatch-1,19/11/2025 02:19:30 p.m.,Complete,R24_A02,Lactate,Probe1B,2.04113216481833,g/L,00:00:30,25,1.90047482081822,15.6370487213135,1.92510632106236,13.7365739004953,13.7824503389571,,,2.09596906389528,26.2204551696777,,2.04113216481833,False
20251114-T5,TestBatch-1,19/11/2025 02:28:17 p.m.,Complete,R24_A02,Glutamine,Probe2A,1.50120731591922,mmol/L,00:00:50,25,0.532938276018415,4.76657840183803,0.74130984715053,4.23364012581962,4.25066233586045,3.41404615129743,3.43859674560608,-0.783356257847368,25.8614311218262,,1.50120731591922,False
20251114-T5,TestBatch-1,19/11/2025 02:28:17 p.m.,Complete,R24_A02,Glutamate,Probe2B,8.4220243847033,mmol/L,00:00:50,25,0.935504368373326,4.34955051967076,1.08366830008371,3.41404615129743,3.43859674560608,,,-0.23065567016602,25.8614311218262,,8.4220243847033,False
20251114-T5,TestBatch-1,19/11/2025 02:22:28 p.m.,Complete,R24_A03,Glucose,Probe1A,2.88289445896252,g/L,00:00:30,25,-0.0658364977155413,3.3615608215332,-0.0551504407610212,3.42739731924874,3.44248827997184,,,0.329606192452571,26.1900749206543,,2.88289445896252,False
